WordIndex,OriginalCode,RollupCode
754,V85.22,PheCode:278
755,201.52,PheCode:201
756,362.77,PheCode:362
756,362.77,PheCode:362.7
758,V40.9,PheCode:306
759,305.42,PheCode:316
760,387.8,PheCode:383
761,934.0,PheCode:1001
762,016.71,PheCode:010
763,730.90,PheCode:710
765,802.24,PheCode:819
766,800.70,PheCode:819
768,232.2,PheCode:172
768,232.2,PheCode:172.3
769,649.04,PheCode:318
771,668.92,PheCode:668
772,973.8,PheCode:973
773,041.9,PheCode:041
775,944.48,PheCode:1000
776,346.72,PheCode:340
778,524.9,PheCode:524
779,752.2,PheCode:751
779,752.2,PheCode:751.1
779,752.2,PheCode:751.11
780,743.48,PheCode:753
783,852.21,PheCode:818
783,852.21,PheCode:818.1
784,668.14,PheCode:668
785,372.22,PheCode:369
785,372.22,PheCode:369.5
786,772.9,PheCode:656
786,772.9,PheCode:656.4
787,963.4,PheCode:963
789,814.16,PheCode:804
791,959.19,PheCode:1009
792,765.11,PheCode:637
793,940.2,PheCode:1000
794,671.02,PheCode:671
795,058.12,PheCode:054
797,363.56,PheCode:363
797,363.56,PheCode:363.4
799,288.65,PheCode:288
799,288.65,PheCode:288.2
800,010.05,PheCode:010
801,651.23,PheCode:651
802,803.69,PheCode:819
803,433.0,PheCode:433
803,433.0,PheCode:433.1
804,123.3,PheCode:134
804,123.3,PheCode:134.1
805,738.3,PheCode:738
806,970.0,PheCode:969
807,531.90,PheCode:531
807,531.90,PheCode:531.2
808,202.18,PheCode:202
808,202.18,PheCode:202.2
809,511.8,PheCode:507
810,640.93,PheCode:636
810,640.93,PheCode:636.3
811,761.9,PheCode:658
812,278.3,PheCode:278
813,371.48,PheCode:364
813,371.48,PheCode:364.4
815,941.37,PheCode:1000
